rating,star,title,quote,writer,director,link,year,genre
8.7,"杰米·贝尔,朱丽·沃特斯,Gary Lewis",跳出我天地 Billy Elliot,家人的爱，是自己所能拥有的最大的财富。,Lee Hall,史蒂芬·戴德利,http://www.imdb.com/title/tt0249462,2000,"剧情,歌舞,家庭,儿童"
8.5,"克林特·伊斯特伍德,梅丽尔·斯特里普,Annie Corley",廊桥遗梦 The Bridges of Madison County,这样确切的爱，一生只有一次。,"理查德·拉·格拉文斯,Robert James Waller",克林特·伊斯特伍德,http://www.imdb.com/title/tt0112579,1995,"剧情,爱情"
8.4,"范·迪塞尔,保罗·沃克,道恩·强森",速度与激情5 Fast Five,爆米花动作电影新标杆。,"克里斯·摩根,盖瑞·斯科特·汤普森",林诣彬,"http://www.fastfivemovie.com,http://www.imdb.com/title/tt1596343",2011,"剧情,动作,惊悚,犯罪"
8.2,"孙艺珍,曹承佑,赵寅成",假如爱有天意 클래식,琼瑶阿姨在韩国的深刻版。,郭在容,郭在容,http://www.imdb.com/title/tt0348568,2003,"剧情,爱情"
8.6,"约翰尼·德普,莱昂纳多·迪卡普里奥,朱丽叶特·刘易斯",不一样的天空 What's Eating Gilbert Grape,生命有裂缝，阳光才照得进来。,皮特·海格斯,莱塞·霍尔斯道姆,http://www.imdb.com/title/tt0108550,1993,"剧情,爱情,家庭"
8.6,"宫哲,金雅琴,罗忠学",我们俩,想外婆了，有没有？！,马俪文,马俪文,http://www.imdb.com/title/tt0757376,2005,剧情
8.5,"山姆·洛克威尔,凯文·史派西,多米妮克·麦克艾丽戈特",月球 Moon,2009媲美《第九区》的又一部科幻神作。,"邓肯·琼斯,内森·帕克",邓肯·琼斯,http://www.imdb.com/title/tt1182345,2009,"剧情,科幻,悬疑"
8.4,"罗素·克劳,杰昆·菲尼克斯,康妮·尼尔森",角斗士 Gladiator,罗马斗兽场的鸦雀无声，久久停留在这样的肃穆中。,"大卫·弗兰佐尼,约翰·洛根,William Nicholson",雷德利·斯科特,http://www.imdb.com/title/tt0172495,2000,"剧情,动作,历史,冒险"
8.7,"岩男润子,松本梨香,辻亲八",未麻的部屋 Perfect Blue,好的剧本是，就算你猜到了结局也猜不到全部。,村井贞之,今敏,http://www.imdb.com/title/tt0156887,1997,"动画,惊悚,奇幻"
8.4,"小林薰,椎名桔平,香川照之",导盲犬小Q クイール,宠物的意义在于化解人的孤独。,"丸山升一,中村义洋",崔洋一,http://www.imdb.com/title/tt0400761,2004,剧情
8.8,,寿司之神 Jiro Dreams of Sushi,仪式主义的狂欢，偏执狂的完胜。,"小野二郎 ,小野祯一,小野隆,山本益弘",大卫·贾柏,http://www.imdb.com/title/tt1772925,2011,纪录片
8.6,"霍卫民,王笑天,罗芸",心迷宫,,"忻钰坤,冯元良",忻钰坤,http://www.imdb.com/title/tt4078856,2014,"剧情,悬疑,犯罪"
8.5,"莱昂纳多·迪卡普里奥,詹妮弗·康纳利,杰曼·翰苏",血钻 Blood Diamond,每个美丽事物背后都是滴血的现实。,查尔斯·里维特,爱德华·兹威克,http://www.imdb.com/title/tt0450259,2006,"剧情,惊悚,冒险"
8.9,"桥本爱,三浦贵大,松冈茉优",小森林 夏秋篇 リトル・フォレスト 夏・秋,,"五十岚大介,森淳一",森淳一,"http://littleforest-movie.jp/sa/,http://www.imdb.com/title/tt3474600",2014,剧情
8.4,"汤姆·汉克斯,海伦·亨特,克里斯·诺斯",荒岛余生 Cast Away,一个人的独角戏。,威廉·保尔斯·杰宁,罗伯特·泽米吉斯,http://www.imdb.com/title/tt0162222,2000,"剧情,冒险"
8.7,"简·林奇,约翰·C·赖利,萨拉·西尔弗曼",无敌破坏王 Wreck-It Ralph,迪士尼和皮克斯拿错剧本的产物。,"珍妮弗·李,菲尔·约翰斯顿,瑞奇·摩尔,吉姆·里尔顿,约翰·C·赖利,Sam J. Levine,Jared Stern",瑞奇·摩尔,"http://disney.go.com/wreck-it-ralph,http://www.imdb.com/title/tt1772341",2012,"喜剧,动画,冒险"
8.4,"基努·里维斯,劳伦斯·菲什伯恩,凯瑞-安·莫斯",黑客帝国3：矩阵革命 The Matrix Revolutions,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,"莉莉·沃卓斯基,拉娜·沃卓斯基","莉莉·沃卓斯基,拉娜·沃卓斯基",http://www.imdb.com/title/tt0242653,2003,"动作,科幻"
8.3,"科林·费尔斯,杰弗里·拉什,海伦娜·伯翰·卡特",国王的演讲 The King's Speech,皇上无话儿。,大卫·塞德勒,汤姆·霍珀,http://www.imdb.com/title/tt1504320,2010,"剧情,传记,历史"
8.7,"费尔兰德·蒙特纳哥,马里利娅·佩拉,文尼西斯·狄·奥利维拉",中央车站 Central do Brasil,心灵救赎。,"马科斯·伯恩斯坦,若昂·伊曼纽尔·卡耐偌",沃尔特·塞勒斯,"http://www.centraldobrasil.com.br/front.htm,http://www.imdb.com/title/tt0140888",1998,剧情
8.4,"凯文·史派西,安妮特·贝宁,索拉·伯奇",美国丽人 American Beauty,每个人的内心都是深不可测的大海。 ,艾伦·鲍尔,萨姆·门德斯,"http://www.dreamworks.com/ab/,http://www.imdb.com/title/tt0169547",1999,"剧情,家庭"
